%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
27605327023,1724,27608000000,world,-1.97549102009e-05,-1.56169712292e-05,-3.61077413674e-07,0.059877099611,0.00779057578963,0.0626149582351
27615495609,1725,27624000000,world,-1.80666756188e-05,-1.4316506096e-05,-3.30311222804e-07,0.0598756006231,0.00779640967472,0.06261638159
27635658744,1726,27640000000,world,-1.65903426914e-05,-1.32300455647e-05,-1.92463066854e-07,0.0598742075318,0.00780363117801,0.0626188194072
27655818448,1727,27656000000,world,-1.61545042606e-05,-1.24342963448e-05,-1.14761865586e-06,0.0598737059012,0.00780781378367,0.0626202650756
27665873734,1728,27672000000,world,-1.51209068861e-05,-1.13417332026e-05,-1.75364070973e-06,0.0598725827991,0.0078164681638,0.0626233667544
27696043356,1729,27688000000,world,-1.19024160204e-05,-1.12571328342e-05,4.98940954771e-06,0.0598699443296,0.00782956364619,0.0626279168516
27716157039,1730,27704000000,world,-1.46376319295e-05,-1.57213764058e-05,1.52171626689e-05,0.0598650692711,0.00783483737012,0.0626279194853
27726218968,1731,27720000000,world,-2.12326814808e-05,-2.01717665519e-05,7.58781744275e-06,0.0598685708592,0.00784304647591,0.0626265672794
27726218968,1732,27736000000,world,-1.76398462625e-05,-1.64325291382e-05,3.45554587627e-06,0.059867610167,0.00784981115368,0.0626265329028
27746458410,1733,27752000000,world,-1.28784802615e-05,-1.21771094678e-05,4.96875144544e-06,0.0598655459929,0.00785580050725,0.0626262623283
27766703743,1734,27768000000,world,-1.02467764294e-05,-6.69764102066e-06,5.8527544507e-06,0.059861608707,0.00786203216952,0.0626244302
27776760605,1735,27784000000,world,-2.03085787733e-06,-1.77105113361e-05,1.03838890552e-05,0.0598590677057,0.00786597869586,0.0626234487779
27796875197,1736,27800000000,world,-2.60918643242e-05,-3.67701904741e-05,3.78223447396e-05,0.0598412059441,0.00787181211114,0.0626127752256
27816993662,1737,27816000000,world,-3.58141819122e-05,-5.86508895754e-05,6.80372949408e-05,0.0598236004044,0.00787795294274,0.0626066820691
27847202693,1738,27840000000,world,-5.57235019364e-05,-9.58682099305e-05,0.000114467224726,0.0597969884212,0.00788925733421,0.0625966619181
27847202693,1739,27848000000,world,-7.10305677475e-05,-0.000121373119347,0.000144661784677,0.0597791525008,0.00789988952845,0.0625911324898
27867564914,1740,27864000000,world,-7.88211599603e-05,-0.000133870152609,0.000159012512684,0.0597704288062,0.00790570071539,0.0625890143684
27877653507,1741,27880000000,world,-9.52096851279e-05,-0.000157599779186,0.000184264384534,0.0597532965205,0.0079186155505,0.0625872198318
27887710948,1742,27896000000,world,-0.000111542171285,-0.000180360664252,0.000207261715508,0.0597364980751,0.00793243347197,0.0625874396091
27907844619,1743,27912000000,world,-0.000127435700852,-0.00020258654461,0.000229304348002,0.059719996651,0.00794671756437,0.0625888884867
27927955476,1744,27928000000,world,-0.000142952230968,-0.000224158816558,0.000250882049285,0.0597045805379,0.00796096094141,0.0625919913153
27948050255,1745,27944000000,world,-0.00015796196466,-0.000245171504832,0.000272672889453,0.0596916605982,0.00797435585108,0.0625959374295
27958107272,1746,27960000000,world,-0.000172408833178,-0.000265928426103,0.000295049357138,0.0596816841613,0.00798655575401,0.0625993823775
27978192729,1747,27976000000,world,-0.000186473346906,-0.000286735760193,0.000317728143439,0.059672909755,0.00799835554292,0.0626023734775
27988252300,1748,27992000000,world,-0.000200148961757,-0.000307634157393,0.000341053433523,0.0596664909198,0.0080090216968,0.0626041342764
27998480994,1749,28008000000,world,-0.000213624753219,-0.000328832700925,0.000364700064739,0.0596603261389,0.00801947437578,0.0626054041427
28018622827,1750,28024000000,world,-0.000226527737182,-0.000349861269196,0.000387305651797,0.0596537880694,0.00803011288411,0.0626064826155
28038839843,1751,28040000000,world,-0.000238338587328,-0.000370145195504,0.000408012663479,0.0596469339936,0.00804298744717,0.0626085084861
28048921615,1752,28056000000,world,-0.000245459528058,-0.000387929547737,0.000424648418626,0.0596408169309,0.00805556996768,0.0626115709798
28069103369,1753,28072000000,world,-0.000246519584743,-0.000395477021523,0.000430780069319,0.0596385192782,0.00806174325647,0.0626142850915
28079163948,1754,28088000000,world,-0.000247070172614,-0.0004151693012,0.000446180067672,0.0596336006927,0.00807915624205,0.0626268833164
28099298107,1755,28104000000,world,-0.000244981303526,-0.000424956957433,0.00045378865306,0.0596308554572,0.00808811109766,0.0626377480493
28119414760,1756,28120000000,world,-0.000243683123689,-0.000429217003224,0.000457227208641,0.0596290741264,0.00809123956342,0.0626430245659
28129500350,1757,28136000000,world,-0.000241501206021,-0.000437405985014,0.000463961042091,0.0596247487035,0.00809620405064,0.0626532606447
28149653177,1758,28152000000,world,-0.000239384456775,-0.000449053236601,0.000474052676381,0.0595946715775,0.00808628125767,0.0626652212885
28159738847,1759,28168000000,world,-0.000239180679065,-0.000452941245717,0.000477076138851,0.0595927891237,0.0080863166576,0.0626696755137
28179933089,1760,28184000000,world,-0.000239500041624,-0.00046440269987,0.000486152780955,0.0595880591465,0.00808540483699,0.0626805349844
28189989222,1761,28200000000,world,-0.000240549144037,-0.000471712111776,0.000492291706111,0.0595849912814,0.00808464526865,0.0626842980737
28210331233,1762,28216000000,world,-0.000241236364198,-0.000475201873382,0.000495422950482,0.0595832782237,0.00808444972195,0.062685082448
28230592899,1763,28232000000,world,-0.000242781779666,-0.000481984449005,0.000501752834326,0.059579963728,0.00808396836797,0.062686394476
