%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
29330689418,0,0,honey/haz_cam,-0.0199224576354,0.00670384475961,0.00435798801482,0.0266942735761,-0.0268103890121,0.734071075916,0.678017795086,0.000399991928134,-4.14768202006e-08,1.64043774475e-06,0.0,0.0,0.0,-4.14768202006e-08,0.000413366331486,3.23073159336e-08,0.0,0.0,0.0,1.64043774475e-06,3.23073372499e-08,0.000400060001994,0.0,0.0,0.0,0.0,0.0,0.0,0.0015567985829,1.75264833757e-08,-6.45137833999e-06,0.0,0.0,0.0,1.75264531777e-08,0.00156154134311,1.15205498474e-08,0.0,0.0,0.0,-6.45137833999e-06,1.1520493004e-08,0.00159202609211
30302252283,1,0,honey/haz_cam,-0.0329494252801,0.00713847903535,0.00824035704136,0.0478585362434,-0.0440641529858,0.756290972233,0.650992751122,0.000796406995505,-1.12858901957e-06,4.5914562179e-06,0.0,0.0,0.0,-1.12858913326e-06,0.000822051428258,9.32061482217e-07,0.0,0.0,0.0,4.5914562179e-06,9.3206136853e-07,0.000797378597781,0.0,0.0,0.0,0.0,0.0,0.0,0.00316088763066,-4.27101440437e-06,-1.23028567032e-05,0.0,0.0,0.0,-4.27101485911e-06,0.00318087730557,2.05497258321e-06,0.0,0.0,0.0,-1.23028567032e-05,2.05497235584e-06,0.00324716977775
31342299325,2,0,honey/haz_cam,-0.0417385585606,0.00720632076263,0.0114922737703,0.0722934529185,-0.0660842061043,0.778531253338,0.619915664196,0.00119755871128,-3.44701652466e-06,8.78805622051e-06,0.0,0.0,0.0,-3.44701652466e-06,0.00123318389524,2.98235249829e-06,0.0,0.0,0.0,8.78805622051e-06,2.98235295304e-06,0.00119928934146,0.0,0.0,0.0,0.0,0.0,0.0,0.00490371556953,-1.65136734722e-05,-1.45858052747e-06,0.0,0.0,0.0,-1.65136698342e-05,0.00501208472997,1.13833193609e-05,0.0,0.0,0.0,-1.45858075484e-06,1.13833193609e-05,0.00512388022617
32311995146,3,0,honey/haz_cam,-0.0475745797157,0.00719657540321,0.0139835411683,0.0899840667844,-0.0796437487006,0.79849332571,0.589888095856,0.00159493088722,-6.48846526019e-06,1.26946388264e-05,0.0,0.0,0.0,-6.48846616969e-06,0.00164050946478,5.26836402059e-06,0.0,0.0,0.0,1.26946379169e-05,5.26836447534e-06,0.00159892672673,0.0,0.0,0.0,0.0,0.0,0.0,0.00664010364562,-4.01963698096e-05,2.82364508166e-05,0.0,0.0,0.0,-4.01963698096e-05,0.00700493296608,2.52559311775e-05,0.0,0.0,0.0,2.82364508166e-05,2.52559311775e-05,0.00710991350934
33311807340,4,0,honey/haz_cam,-0.0510290674865,0.0072272727266,0.0155601622537,0.115756958723,-0.0952381938696,0.812178015709,0.563823282719,0.00199655327015,-9.8806058304e-06,1.69447066583e-05,0.0,0.0,0.0,-9.8806067399e-06,0.002049052855,8.70058283908e-06,0.0,0.0,0.0,1.69447048393e-05,8.70058374858e-06,0.00199988810346,0.0,0.0,0.0,0.0,0.0,0.0,0.00839872751385,-7.99595873104e-05,8.34597158246e-05,0.0,0.0,0.0,-7.99595873104e-05,0.00938752200454,5.70064221392e-05,0.0,0.0,0.0,8.34597085486e-05,5.70064221392e-05,0.00939751602709
34472644105,5,0,honey/haz_cam,-0.0525168292224,0.00735133094713,0.0162312444299,0.138597249985,-0.116266921163,0.827085614204,0.532167494297,0.00240126019344,-1.4636942069e-05,2.12536106119e-05,0.0,0.0,0.0,-1.46369411596e-05,0.00245832186192,1.31078750201e-05,0.0,0.0,0.0,2.12536106119e-05,1.31078722916e-05,0.00240449653938,0.0,0.0,0.0,0.0,0.0,0.0,0.0101612973958,-0.000159260845976,0.000173054606421,0.0,0.0,0.0,-0.000159260845976,0.0123149994761,0.000120534481539,0.0,0.0,0.0,0.000173054606421,0.000120534481539,0.0120524512604
35429727049,6,0,honey/haz_cam,-0.0529912598431,0.00747082242742,0.0164333302528,0.156422957778,-0.138200059533,0.841964364052,0.497522413731,0.00280187954195,-2.03690724447e-05,2.52915142482e-05,0.0,0.0,0.0,-2.03690706257e-05,0.00286224880256,1.78407262865e-05,0.0,0.0,0.0,2.52915142482e-05,1.78407262865e-05,0.0028063156642,0.0,0.0,0.0,0.0,0.0,0.0,0.011897707358,-0.00028553060838,0.000314315839205,0.0,0.0,0.0,-0.00028553060838,0.0149543182924,0.000215351625229,0.0,0.0,0.0,0.000314315839205,0.000215351596125,0.0143393110484
36390874720,7,0,honey/haz_cam,-0.0530211105943,0.00756376795471,0.0164540335536,0.179760813713,-0.149602308869,0.850533127785,0.471061110497,0.00320468959399,-2.47690404649e-05,2.89307718049e-05,0.0,0.0,0.0,-2.47690422839e-05,0.00326760276221,2.27537984756e-05,0.0,0.0,0.0,2.89307718049e-05,2.27538021136e-05,0.00320789776742,0.0,0.0,0.0,0.0,0.0,0.0,0.0137000586838,-0.000423556630267,0.000448329432402,0.0,0.0,0.0,-0.000423556659371,0.0176592748612,0.000326413748553,0.0,0.0,0.0,0.000448329315986,0.000326413748553,0.0166322309524
37493729104,8,0,honey/haz_cam,-0.0530700720847,0.00760075170547,0.0165058318526,0.202552199364,-0.17116458714,0.861101329327,0.433796882629,0.00361034763046,-3.13971904689e-05,3.19353639497e-05,0.0,0.0,0.0,-3.13971868309e-05,0.00367076462135,2.90351981675e-05,0.0,0.0,0.0,3.19353675877e-05,2.90351981675e-05,0.0036133187823,0.0,0.0,0.0,0.0,0.0,0.0,0.0157004334033,-0.000670658773743,0.000713848217856,0.0,0.0,0.0,-0.000670658715535,0.0205406751484,0.000533345155418,0.0,0.0,0.0,0.000713848217856,0.000533345155418,0.0190835874528
38468854908,9,0,honey/haz_cam,-0.0533816106617,0.00758602796122,0.0166986938566,0.227021127939,-0.183516040444,0.867387831211,0.403015643358,0.00401754444465,-3.63738836313e-05,3.47699278791e-05,0.0,0.0,0.0,-3.63738799933e-05,0.00407519843429,3.51183916791e-05,0.0,0.0,0.0,3.47699278791e-05,3.51183989551e-05,0.00401896797121,0.0,0.0,0.0,0.0,0.0,0.0,0.0177591945976,-0.000929729954805,0.000977518153377,0.0,0.0,0.0,-0.000929729896598,0.0233208462596,0.000767726683989,0.0,0.0,0.0,0.000977518269792,0.000767726683989,0.0214906800538
