%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
94290373414,5879,94296000000,world,8.43044402723e-06,4.69136178084e-09,-6.8147190718e-07,-3.68678720052e-06,-3.11434440523e-05,3.0412676673e-05
94310586804,5880,94312000000,world,4.73072273688e-06,6.31198470284e-09,-3.00799387306e-07,-2.59765954024e-06,-2.97901216052e-05,3.05042449462e-05
94320654828,5881,94328000000,world,4.18902324556e-06,9.13042925729e-09,-2.34491106778e-07,-2.07526588134e-06,-2.89379817312e-05,3.08718841682e-05
94340907181,5882,94344000000,world,3.08316965208e-06,1.10767325482e-08,-1.5270295941e-07,-1.55142816888e-06,-2.89766195306e-05,3.04259912572e-05
94351043073,5883,94360000000,world,-2.0250919537e-07,8.23461858906e-09,5.78145811018e-08,-3.25867497608e-07,-2.81324431365e-05,2.98788001717e-05
94371201341,5884,94376000000,world,4.64854833214e-05,-1.81491410914e-07,-4.51821638e-06,1.83691675015e-06,-2.56004721122e-05,2.96604466743e-05
94391382999,5885,94392000000,world,3.90198245279e-05,-1.12187438355e-07,-3.64324511105e-06,4.7717791302e-06,-2.14619403302e-05,2.99100791187e-05
94401447063,5886,94408000000,world,3.0519519378e-05,-7.86485607414e-08,-2.8261200324e-06,8.17837247167e-06,-1.62146384093e-05,3.05620384947e-05
94421625926,5887,94424000000,world,2.16916610964e-05,-5.59526529795e-08,-2.00874850773e-06,1.1772942813e-05,-1.04285760156e-05,3.14628089244e-05
94431685447,5888,94440000000,world,1.28417179348e-05,-3.74617865937e-08,-1.19677290673e-06,1.53762344918e-05,-4.6284895323e-06,3.2365763312e-05
94451990639,5889,94456000000,world,4.26987017488e-06,-2.01638163659e-08,-3.48308746706e-07,1.84056342569e-05,3.96904538302e-07,3.33045232959e-05
94472367772,5890,94472000000,world,-3.9781361072e-06,2.35675750731e-09,5.68992260274e-07,2.0374302837e-05,3.88952524342e-06,3.42165267364e-05
94482452931,5891,94488000000,world,-1.19642703318e-05,7.59988228229e-09,1.79914659129e-06,2.12962043241e-05,5.85344046711e-06,3.50875734227e-05
94502670256,5892,94504000000,world,-1.98221932457e-05,1.2881338006e-08,3.0618973164e-06,2.14625335961e-05,6.70664974388e-06,3.59227680774e-05
94512760433,5893,94520000000,world,-2.76552253756e-05,1.8047511037e-08,4.29621483916e-06,2.12427894793e-05,6.98680731797e-06,3.67350422022e-05
94532904165,5894,94536000000,world,-3.31859326409e-05,2.10662540885e-08,5.10092822519e-06,2.06215132501e-05,6.50164302623e-06,3.73687685228e-05
94542974101,5895,94552000000,world,-3.82261636132e-05,2.22753285946e-08,5.8769776923e-06,2.10736232042e-05,7.49960242116e-06,3.79690302357e-05
94563093717,5896,94568000000,world,-4.31204667588e-05,2.04398317022e-08,7.20663803132e-06,2.19403801586e-05,9.10055694208e-06,3.85840165842e-05
94583210448,5897,94584000000,world,-4.77805247558e-05,9.96028818349e-09,1.05911354838e-05,2.23345766197e-05,1.06968432544e-05,3.98060605775e-05
94593294277,5898,94600000000,world,-4.7267568329e-05,-7.33666938403e-08,2.32300077981e-05,2.23682332209e-05,1.16820353362e-05,4.09372984054e-05
94613506444,5899,94616000000,world,4.87789714019e-05,-8.29405642258e-08,-7.53301744784e-07,2.24022655013e-05,1.16953720239e-05,4.11826938406e-05
