%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
93814781613,5862,93816000000,world,10.9000577631,-6.65066485283,4.90031608032,0.300751270912,0.50166314438,0.775371931446,0.238077992559
93824866066,5863,93832000000,world,10.9000579758,-6.65066432381,4.9003160417,0.300578334143,0.50148797829,0.775721262797,0.237526830313
93845068899,5864,93848000000,world,10.9000580536,-6.65066413231,4.90031602891,0.300405232107,0.501312525153,0.776070239104,0.236975594997
93855184761,5865,93864000000,world,10.9000583081,-6.65066349586,4.90031600482,0.300231973007,0.501136788661,0.776418855054,0.236424285875
93876215363,5866,93880000000,world,10.9000587431,-6.65066241761,4.90031594444,0.30005856241,0.500960771102,0.776767107223,0.235872902379
93896357007,5867,93896000000,world,10.9000590441,-6.65066167485,4.90031589683,0.299884997827,0.500784470222,0.777114998155,0.235321444209
93906435000,5868,93912000000,world,10.9000592112,-6.65066126299,4.90031587112,0.299711267967,0.500607877968,0.777462537519,0.23476991103
93926588945,5869,93928000000,world,10.9000592445,-6.65066117812,4.90031586527,0.299537358172,0.500430983773,0.777809737884,0.234218302426
93936730383,5870,93944000000,world,10.9000594601,-6.65066064186,4.90031583214,0.299363264081,0.500253784671,0.778156602763,0.233666618533
93967075226,5871,93960000000,world,10.9000595425,-6.6506604372,4.90031581998,0.299188994007,0.500076287172,0.778503124486,0.233114860185
93977151035,5872,93976000000,world,10.9000598718,-6.65065982787,4.90031584612,0.299014554185,0.499898496071,0.778849297361,0.232563028041
93987256356,5873,93992000000,world,10.9000603425,-6.65065876969,4.90031581847,0.298839954502,0.499720418858,0.779195112538,0.232011122937
94007433433,5874,94008000000,world,10.9000606381,-6.65065803348,4.90031577298,0.298665201892,0.499542059834,0.779540565228,0.23145914283
94017501263,5875,94024000000,world,10.900060798,-6.65065763452,4.9003157447,0.298490311118,0.499363427655,0.779885645396,0.230907083899
94037703950,5876,94040000000,world,10.90006082,-6.65065757186,4.90031574553,0.298315297767,0.499184531441,0.780230342351,0.230354942564
94047832512,5877,94056000000,world,10.9000614231,-6.65065646789,4.90031538529,0.298140173277,0.499005377949,0.780574648156,0.229802716502
94068016626,5878,94072000000,world,10.9000617853,-6.65065560943,4.90031528974,0.297964943776,0.498825970837,0.780918558509,0.229250404745
94078120358,5879,94088000000,world,10.9000619965,-6.65065508231,4.90031524881,0.29778961,0.49864631459,0.78126207098,0.228698005174
94098330341,5880,94104000000,world,10.9000620701,-6.6506548976,4.90031523466,0.297614169271,0.498466418506,0.78160518245,0.228145511984
94118551339,5881,94120000000,world,10.9000623376,-6.6506542872,4.90031521054,0.297438618262,0.498286292537,0.781947889856,0.227592918576
94128631804,5882,94136000000,world,10.9000627651,-6.6506532412,4.90031514378,0.297262953239,0.498105943573,0.782290191601,0.227040220521
94148782155,5883,94152000000,world,10.9000630401,-6.65065253938,4.90031509137,0.297087171196,0.497925375025,0.782632087297,0.226487415878
94158880463,5884,94168000000,world,10.900063177,-6.650652187,4.90031506537,0.296911270569,0.497744587746,0.782973577097,0.225934504552
94179155698,5885,94184000000,world,10.9000631785,-6.6506521852,4.90031506428,0.296735250962,0.497563581953,0.783314660945,0.225381487036
94199268681,5886,94200000000,world,10.9000636405,-6.65065096478,4.90031499144,0.296559109906,0.497382334531,0.783655353884,0.224828365552
94209325342,5887,94216000000,world,10.9000639721,-6.65065010206,4.90031493692,0.296382840391,0.497200804314,0.783995683457,0.224275144483
94229624685,5888,94232000000,world,10.9000641651,-6.65064959808,4.90031490676,0.296206432831,0.497018957377,0.784335674476,0.223721824821
94239681587,5889,94248000000,world,10.900064219,-6.65064945724,4.90031489838,0.296029878618,0.496836775429,0.784675342353,0.223168404239
94259938843,5890,94264000000,world,10.9000644547,-6.65064890966,4.90031484388,0.295853172991,0.496654250565,0.785014694178,0.222614881244
94270016998,5891,94280000000,world,10.9000648383,-6.65064793931,4.90031477536,0.295676314865,0.49647138113,0.785353731285,0.222061255745
94290373414,5892,94296000000,world,10.9000650685,-6.65064732883,4.90031474135,0.295499304274,0.496288167064,0.785692453483,0.221507527968
94310586804,5893,94312000000,world,10.90006516,-6.65064708465,4.90031472812,0.295322141221,0.496104608936,0.786030860129,0.220953698367
94320654828,5894,94328000000,world,10.9000654046,-6.65064641733,4.90031470163,0.295144827155,0.495920709817,0.786368948308,0.220399767958
94340907181,5895,94344000000,world,10.9000658109,-6.65064533116,4.90031464803,0.294967352332,0.495736478603,0.786706713489,0.21984574545
94351043073,5896,94360000000,world,10.9000660856,-6.65064461597,4.90031460824,0.29478969515,0.495551928383,0.787044150967,0.219291646759
94371201341,5897,94376000000,world,10.9000662208,-6.65064427092,4.90031458843,0.294611833536,0.495367070936,0.787381257181,0.218737487443
94391382999,5898,94392000000,world,10.900066193,-6.65064428748,4.90031459536,0.294433751857,0.495181913875,0.787718030141,0.218183278297
94401447063,5899,94408000000,world,10.9000667869,-6.65064321959,4.90031448563,0.294255442477,0.49499646073,0.788054468962,0.217629024687
94421625926,5900,94424000000,world,10.9000671009,-6.65064245658,4.90031443864,0.294076904076,0.494810712165,0.788390573351,0.217074727843
94431685447,5901,94440000000,world,10.9000672571,-6.65064205932,4.90031441653,0.293898136954,0.494624668129,0.788726343148,0.21652038795
94451990639,5902,94456000000,world,10.9000672681,-6.65064203318,4.90031441488,0.293719141493,0.494438328538,0.789061778201,0.215966005138
