%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
28129500350,1744,28136000000,world,1.66691094216e-05,2.03469986901e-05,-2.29940271365e-05,-2.80484975664e-05,-1.33142397391e-05,-4.69655060257e-05
28149653177,1745,28152000000,world,1.65004015682e-05,2.028233123e-05,-2.29273859803e-05,-1.88766405358e-05,-1.32940371665e-05,-4.67517829444e-05
28159738847,1746,28168000000,world,1.67355888658e-05,1.98067576988e-05,-2.23432877193e-05,-2.1794247985e-05,-1.29722682041e-05,-4.66254329281e-05
28179933089,1747,28184000000,world,1.70421048726e-05,1.83990930226e-05,-2.05871054919e-05,-2.36249108883e-05,-1.23182172139e-05,-4.71255561815e-05
28200229762,1748,28200000000,world,1.68242494093e-05,1.69802125356e-05,-1.88362919629e-05,-1.76887211638e-05,-1.17280428072e-05,-4.75319467433e-05
28210331233,1749,28216000000,world,-1.22730018366e-05,-1.05428254716e-05,1.15403397866e-05,-3.57850533193e-06,-1.69600936975e-05,-4.4061207167e-05
28230592899,1750,28232000000,world,-1.45471672286e-05,-1.18161294083e-05,1.28423420092e-05,-5.50227577238e-06,-1.65748214712e-05,-4.42233543726e-05
28240650563,1751,28248000000,world,-1.69641671202e-05,-1.35826586119e-05,1.47069433778e-05,-6.40824604584e-06,-1.61003904827e-05,-4.48789576038e-05
28271207957,1752,28264000000,world,8.69684427527e-06,9.60986757306e-06,-1.07578247175e-05,-1.47032192877e-05,-9.65440519957e-06,-5.03333630272e-05
28271207957,1753,28280000000,world,6.28875522333e-06,8.34685274566e-06,-9.49881977299e-06,-1.63183282211e-05,-9.36156552915e-06,-5.1142794828e-05
28291341623,1754,28296000000,world,5.06985944149e-06,7.8443750004e-06,-8.98126357712e-06,-1.88793067205e-05,-9.16150458281e-06,-5.08996386454e-05
28311520879,1755,28312000000,world,3.91063867653e-06,7.30198267675e-06,-8.35873763121e-06,-8.84546186352e-06,-8.93760362343e-06,-5.05765970494e-05
28321577512,1756,28328000000,world,-1.32010556581e-05,-2.3157019294e-05,2.65035839878e-05,6.96630948007e-06,-1.20685221514e-05,-4.81222488242e-05
28341931810,1757,28344000000,world,2.20294689691e-06,6.86472095828e-06,-7.89773131748e-06,-1.51719504586e-05,-8.39251153704e-06,-4.92939068584e-05
28352204167,1758,28360000000,world,6.4111218074e-07,6.32485173482e-06,-7.40804760227e-06,-1.7423501678e-05,-7.66249416446e-06,-4.884230301e-05
28372543372,1759,28376000000,world,-7.25440379331e-07,5.87720747401e-06,-6.96069661947e-06,-7.35183705266e-06,-6.97430552016e-06,-4.84880415578e-05
28392723081,1760,28392000000,world,-2.22421498108e-06,5.68502708248e-06,-6.88953394083e-06,-9.960164914e-06,-5.91965746097e-06,-4.77594784059e-05
28412978814,1761,28408000000,world,-3.4504581005e-06,5.75811897324e-06,-7.08540106208e-06,-1.27979595632e-05,-5.04898734575e-06,-4.70219514048e-05
28423072482,1762,28424000000,world,-4.19904633346e-06,6.03000563544e-06,-7.41799803093e-06,-1.6078502709e-05,-4.85072417325e-06,-4.63544684841e-05
28433132040,1763,28440000000,world,-4.36365337808e-06,6.02654731365e-06,-7.3656868874e-06,-6.32498560297e-06,-4.70988201413e-06,-4.59833431452e-05
28453288651,1764,28456000000,world,-4.34886477886e-06,6.08568959838e-06,-7.43829621332e-06,-9.7134785175e-06,-4.67153737034e-06,-4.57550325771e-05
28463368057,1765,28472000000,world,-4.33521781409e-06,6.14425564109e-06,-7.50980037685e-06,-1.30269862867e-05,-4.62455059017e-06,-4.54887346152e-05
28483548252,1766,28488000000,world,-4.96610417237e-06,6.22416498304e-06,-7.60311802258e-06,-7.15463661939e-06,-4.08800378263e-06,-4.47574021639e-05
28503868188,1767,28504000000,world,-6.41185682579e-06,6.24036957067e-06,-7.94902010045e-06,-9.28279152097e-06,-2.60087782888e-06,-4.46717910379e-05
28513923184,1768,28520000000,world,-8.61744687702e-06,6.18647568737e-06,-8.47174567893e-06,-1.03104133595e-05,-4.91813091353e-07,-4.54098936255e-05
28534065096,1769,28536000000,world,-1.13990424129e-05,6.161631646e-06,-9.12432924814e-06,-1.94250673412e-06,1.41248357218e-06,-4.70561456244e-05
28544289590,1770,28552000000,world,-1.42252684093e-05,6.31325954237e-06,-9.99179198849e-06,-2.09368619032e-06,3.83103891964e-06,-4.94119766582e-05
28564418940,1771,28568000000,world,-1.62482506756e-05,6.59520127743e-06,-1.07686213759e-05,-2.71247992812e-06,6.03625354451e-06,-5.11819522818e-05
28574512598,1772,28584000000,world,-1.72751883133e-05,6.83623054088e-06,-1.11972887308e-05,4.86325039765e-06,7.47950051854e-06,-5.2328986279e-05
28594651442,1773,28600000000,world,-1.79628143377e-05,7.0730514128e-06,-1.15775817389e-05,3.35309842416e-06,9.24104802881e-06,-5.33418551546e-05
28614842745,1774,28616000000,world,-1.82854665616e-05,7.24720712994e-06,-1.18059376849e-05,1.68387344183e-06,1.10210965513e-05,-5.36358569934e-05
28624898312,1775,28632000000,world,-1.86704102387e-05,7.39769662595e-06,-1.19929503922e-05,1.0027175178e-05,1.37233326102e-05,-5.41422456127e-05
28645012120,1776,28648000000,world,-1.93400327346e-05,7.69950437036e-06,-1.24444627266e-05,1.0032799434e-05,1.74912503306e-05,-5.50787047443e-05
28655101412,1777,28664000000,world,-1.99822233638e-05,8.06786945706e-06,-1.29688714101e-05,9.69019883199e-06,2.08484963737e-05,-5.58669441972e-05
28675213292,1778,28680000000,world,-2.05485803803e-05,8.46523453599e-06,-1.34589686165e-05,1.8398472939e-05,2.43720850052e-05,-5.85747863424e-05
28705650711,1779,28704000000,world,1.56544263299e-05,-8.73612667378e-06,1.23456842904e-05,3.31324165154e-05,3.75440526029e-05,-7.01473496533e-05
28725847272,1780,28712000000,world,-2.1532368202e-05,9.38469590679e-06,-1.46912427802e-05,2.27750567993e-05,3.28989226434e-05,-6.85510538382e-05
28735940917,1781,28728000000,world,1.44482167271e-05,-9.10099286031e-06,1.23417101135e-05,4.57777088401e-05,4.4050102758e-05,-8.41944817557e-05
28745994657,1782,28744000000,world,-2.0685817552e-05,1.07172627406e-05,-1.55947008808e-05,3.36585381653e-05,3.82552975893e-05,-8.29081410159e-05
28766299700,1783,28768000000,world,1.36621027873e-05,-9.67901748238e-06,1.26880124977e-05,4.73638670039e-05,4.59972991784e-05,-9.39794275845e-05
28766299700,1784,28776000000,world,1.36621027873e-05,-9.67901748238e-06,1.26880124977e-05,4.73638670039e-05,4.59972991784e-05,-9.39794275845e-05
28786418005,1785,28792000000,world,-1.8357488414e-05,1.29208512981e-05,-1.694724627e-05,3.65641867178e-05,3.98443116517e-05,-8.94650904242e-05
28806548340,1786,28808000000,world,-1.83213393818e-05,1.30170795205e-05,-1.70428703821e-05,3.33036122878e-05,3.99276053159e-05,-8.88434683975e-05
28826663494,1787,28824000000,world,-1.77064787616e-05,1.28861071453e-05,-1.66755348501e-05,4.06693364198e-05,4.07519503971e-05,-8.8443992814e-05
28836789761,1788,28840000000,world,1.35500906138e-05,-1.06868094335e-05,1.33398357504e-05,5.35518907584e-05,4.71070556738e-05,-9.21424993156e-05
28846872754,1789,28856000000,world,-1.62306606222e-05,1.2475678408e-05,-1.58456269641e-05,3.55764630613e-05,4.32265738539e-05,-8.80457930064e-05
28867014727,1790,28872000000,world,-1.47034366394e-05,1.13748680584e-05,-1.43793667353e-05,4.28687434117e-05,4.53577940104e-05,-8.82344231735e-05
28887126647,1791,28888000000,world,-1.36095672976e-05,1.02800327139e-05,-1.31234907562e-05,4.10177293314e-05,4.71157789153e-05,-8.83909888959e-05
28897184384,1792,28904000000,world,-1.25696616939e-05,8.9454422239e-06,-1.16315057582e-05,3.94865958874e-05,4.89404529168e-05,-8.8891724279e-05
