%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
93754111009,5845,93752000000,world,10.8999719482,-8.65000095794,4.90000307948,-6.24396985704e-06,2.00163040216e-05,0.707155015738,0.707058543034
93764225342,5846,93768000000,world,10.8999719377,-8.65000095792,4.90000307946,-6.45978182558e-06,1.98790481285e-05,0.707155163618,0.707058395135
93774344692,5847,93784000000,world,10.899971799,-8.65000095786,4.90000307942,-6.67907109692e-06,1.97379744457e-05,0.707155309329,0.707058249406
93794586742,5848,93800000000,world,10.899971477,-8.65000095776,4.90000307933,-6.90233310251e-06,1.95925868627e-05,0.707155452419,0.707058106298
93814781613,5849,93816000000,world,10.899971762,-8.65000095782,4.90000307939,-7.12757029573e-06,1.94448813141e-05,0.70715559471,0.70705796399
93824866066,5850,93832000000,world,10.8999717774,-8.65000095782,4.90000307939,-7.3520255633e-06,1.92976146316e-05,0.707155738719,0.707057819963
93845068899,5851,93848000000,world,10.8999715065,-8.65000095776,4.90000307934,-7.57338399828e-06,1.91531001566e-05,0.707155886558,0.707057672105
93855184761,5852,93864000000,world,10.8999709455,-8.65000095763,4.90000307921,-7.79110406955e-06,1.9011878873e-05,0.707156038724,0.707057519919
93876215363,5853,93880000000,world,10.8999709396,-8.65000095763,4.90000307921,-8.00434556592e-06,1.88747911004e-05,0.707156195986,0.707057362637
93886290671,5854,93896000000,world,10.8999707143,-8.65000095759,4.90000307916,-8.21395187483e-06,1.87409933494e-05,0.707156357581,0.70705720102
93906435000,5855,93912000000,world,10.8999703209,-8.65000095764,4.90000307916,-8.41893301819e-06,1.86114738758e-05,0.707156524415,0.707057034163
93926588945,5856,93928000000,world,10.8999706136,-8.65000095777,4.90000307927,-8.6167642807e-06,1.84887589559e-05,0.707156698796,0.707056859759
93936730383,5857,93944000000,world,10.899970743,-8.65000095783,4.90000307931,-8.8046551683e-06,1.83756382147e-05,0.707156883271,0.707056675259
93967075226,5858,93960000000,world,10.8999706877,-8.6500009578,4.90000307929,-8.98586105947e-06,1.82688533928e-05,0.707157074871,0.707056483631
93977151035,5859,93976000000,world,10.8999704242,-8.6500009577,4.9000030792,-9.16763054841e-06,1.81611543404e-05,0.707157266987,0.707056291488
93987256356,5860,93992000000,world,10.8999699343,-8.65000095747,4.90000307902,-9.3572167805e-06,1.80452869603e-05,0.707157453006,0.707056105443
94007433433,5861,94008000000,world,10.8999700991,-8.65000095751,4.90000307906,-9.5571964092e-06,1.7918674252e-05,0.707157630582,0.707055927843
94017501263,5862,94024000000,world,10.899970151,-8.65000095751,4.90000307906,-9.76568168875e-06,1.77832042033e-05,0.707157801442,0.707055756959
94037703950,5863,94040000000,world,10.899970159,-8.65000095749,4.90000307905,-9.9789705595e-06,1.76425775109e-05,0.707157968967,0.70705558941
94047832512,5864,94056000000,world,10.899970121,-8.65000095745,4.90000307903,-1.01923413226e-05,1.75015177407e-05,0.707158137469,0.707055420884
94068016626,5865,94072000000,world,10.8999699807,-8.6500009574,4.90000307898,-1.04013962512e-05,1.73644219829e-05,0.707158310958,0.70705524737
94078120358,5866,94088000000,world,10.8999696684,-8.6500009573,4.90000307889,-1.06027438842e-05,1.72346796981e-05,0.707158492528,0.707055065774
94098330341,5867,94104000000,world,10.8999699685,-8.65000095738,4.90000307897,-1.07943438288e-05,1.71143290994e-05,0.707158684039,0.707054874234
94118551339,5868,94120000000,world,10.8999700048,-8.65000095739,4.90000307898,-1.09755173085e-05,1.70040465981e-05,0.707158886112,0.707054672132
94128631804,5869,94136000000,world,10.8999698185,-8.65000095733,4.90000307893,-1.11490324191e-05,1.69010649565e-05,0.707159096225,0.707054461987
94148782155,5870,94152000000,world,10.8999694952,-8.65000095723,4.90000307883,-1.13185704537e-05,1.68017029886e-05,0.707159311029,0.707054247151
94158880463,5871,94168000000,world,10.8999690638,-8.65000095725,4.9000030788,-1.14853397533e-05,1.67047503357e-05,0.707159529424,0.707054028723
94179155698,5872,94184000000,world,10.8999693452,-8.65000095766,4.90000307908,-1.1652730803e-05,1.66068135635e-05,0.707159748319,0.707053809796
94199268681,5873,94200000000,world,10.8999694571,-8.65000095782,4.9000030792,-1.18260783187e-05,1.65025584246e-05,0.707159962849,0.707053595232
94209325342,5874,94216000000,world,10.899969359,-8.65000095775,4.90000307914,-1.20102767415e-05,1.63870885311e-05,0.707160168553,0.707053389497
94229624685,5875,94232000000,world,10.8999690352,-8.65000095732,4.90000307632,-1.22065008811e-05,1.62590597993e-05,0.707160364174,0.707053193846
94239681587,5876,94248000000,world,10.8999693289,-8.65000095722,4.90000304877,-1.24131477652e-05,1.61197063828e-05,0.707160550773,0.707053007219
94259938843,5877,94264000000,world,10.8999694139,-8.65000095719,4.90000304085,-1.26274435976e-05,1.59714260281e-05,0.707160730468,0.707052827496
94270016998,5878,94280000000,world,10.8999693047,-8.65000095717,4.90000305172,-1.28397164512e-05,1.58177677103e-05,0.707160905336,0.7070526526
94290373414,5879,94296000000,world,10.8999690524,-8.65000095718,4.90000307631,-1.30402562299e-05,1.56625975305e-05,0.7071610778,0.707052480109
94310586804,5880,94312000000,world,10.8999687235,-8.6500009573,4.90000310431,-1.32269389929e-05,1.5508411262e-05,0.707161250212,0.707052307671
94320654828,5881,94328000000,world,10.8999683728,-8.65000095771,4.90000312715,-1.34043358583e-05,1.53559968694e-05,0.707161424313,0.707052133543
94340907181,5882,94344000000,world,10.8999680065,-8.65000095843,4.90000314799,-1.357773043e-05,1.52016621441e-05,0.707161597042,0.707051960787
94351043073,5883,94360000000,world,10.8999675961,-8.65000095976,4.90000316909,-1.37416577983e-05,1.50449132041e-05,0.70716176682,0.707051790983
94371201341,5884,94376000000,world,10.8999679437,-8.65000096112,4.90000313528,-1.38827398404e-05,1.48891894875e-05,0.707161934898,0.70705162288
94391382999,5885,94392000000,world,10.899968179,-8.65000096181,4.90000311326,-1.39871722025e-05,1.47390917423e-05,0.707162103726,0.707051454026
94401447063,5886,94408000000,world,10.8999682823,-8.65000096211,4.90000310361,-1.40448852271e-05,1.459850199e-05,0.707162275675,0.707051282052
94421625926,5887,94424000000,world,10.8999682457,-8.65000096208,4.90000310688,-1.40505603054e-05,1.44698089275e-05,0.707162452368,0.707051105335
94431685447,5888,94440000000,world,10.8999680676,-8.65000096173,4.90000312319,-1.40030731377e-05,1.43535310267e-05,0.707162634166,0.707050923511
94451990639,5889,94456000000,world,10.8999677513,-8.65000096094,4.90000315356,-1.39081131817e-05,1.42488242959e-05,0.707162821224,0.707050736427
94462124718,5890,94472000000,world,10.8999673013,-8.65000095908,4.90000319418,-1.37785911077e-05,1.41534030683e-05,0.707163013479,0.707050544146
94482452931,5891,94488000000,world,10.8999675584,-8.65000095923,4.90000315897,-1.3629101698e-05,1.40645562402e-05,0.70716321072,0.707050346878
94502670256,5892,94504000000,world,10.8999676889,-8.6500009593,4.90000314115,-1.34712053365e-05,1.3980096465e-05,0.707163412736,0.707050144835
94512760433,5893,94520000000,world,10.899967915,-8.65000095944,4.90000310745,-1.33914507344e-05,1.39390591451e-05,0.707163515483,0.707050042074
94532904165,5894,94536000000,world,10.8999676009,-8.65000095923,4.90000315687,-1.31566247498e-05,1.38186458039e-05,0.707163829858,0.707049727655
94542974101,5895,94552000000,world,10.8999674254,-8.65000095912,4.90000318386,-1.29970513234e-05,1.37410707427e-05,0.70716404378,0.707049513702
94563093717,5896,94568000000,world,10.8999671702,-8.650000959,4.90000322593,-1.28249573286e-05,1.36673814876e-05,0.70716426116,0.707049296292
94583210448,5897,94584000000,world,10.8999668368,-8.65000095893,4.90000329926,-1.26409281772e-05,1.35998295004e-05,0.707164484594,0.707049072826
94593294277,5898,94600000000,world,10.899966471,-8.65000095949,4.90000347875,-1.24497611068e-05,1.35380138494e-05,0.707164714556,0.707048842831
94613506444,5899,94616000000,world,10.8999668457,-8.65000096013,4.90000347295,-1.22569521453e-05,1.34774558878e-05,0.707164947157,0.707048610196
94623624921,5900,94632000000,world,10.899967158,-8.65000096066,4.90000346973,-1.20676338124e-05,1.34130216431e-05,0.707165177721,0.707048379598
94643884644,5901,94648000000,world,10.8999674013,-8.65000096107,4.90000346769,-1.18878599889e-05,1.33386562421e-05,0.707165400728,0.707048156559
94654019567,5902,94664000000,world,10.8999675674,-8.65000096134,4.90000346643,-1.17219031892e-05,1.3250084612e-05,0.707165612283,0.707047944974
94674364296,5903,94680000000,world,10.8999676495,-8.65000096148,4.90000346578,-1.1571684742e-05,1.31453844817e-05,0.707165810635,0.707047746593
94694486667,5904,94696000000,world,10.8999676435,-8.65000096148,4.90000346567,-1.14374625107e-05,1.30242960839e-05,0.707165995553,0.707047561649
94704540872,5905,94712000000,world,10.8999675449,-8.65000096134,4.9000034661,-1.13139757221e-05,1.28920804355e-05,0.707166171836,0.70704738534
94724745324,5906,94728000000,world,10.8999673487,-8.65000096104,4.90000346717,-1.11938112187e-05,1.27561519178e-05,0.707166346251,0.707047210901
94734824882,5907,94744000000,world,10.8999670509,-8.65000096056,4.90000346919,-1.10708371025e-05,1.26226415963e-05,0.707166524392,0.707047032734
94755008642,5908,94760000000,world,10.8999666497,-8.65000095981,4.90000347329,-1.09404020986e-05,1.24962009071e-05,0.707166710504,0.707046846594
94775207424,5909,94776000000,world,10.8999669862,-8.65000095987,4.90000347685,-1.07998015103e-05,1.2379533153e-05,0.707166907058,0.707046650011
94785277730,5910,94792000000,world,10.8999672192,-8.65000095996,4.90000347875,-1.06477609987e-05,1.22739122763e-05,0.707167115218,0.70704644182
94805541814,5911,94808000000,world,10.8999673518,-8.65000096002,4.90000347977,-1.04882088555e-05,1.21754074785e-05,0.707167331404,0.707046225601
94815640064,5912,94824000000,world,10.8999674085,-8.65000096004,4.90000348023,-1.03260322617e-05,1.20791319912e-05,0.707167551162,0.707046005809
94835818472,5913,94840000000,world,10.8999674015,-8.65000096001,4.90000348027,-1.01626190545e-05,1.1983696509e-05,0.707167773231,0.707045783707
94845884928,5914,94856000000,world,10.8999673279,-8.65000095995,4.90000347988,-9.99632155236e-06,1.18907483777e-05,0.707167999114,0.707045557788
94866265921,5915,94872000000,world,10.8999671969,-8.65000095986,4.90000347906,-9.8266622442e-06,1.18007633401e-05,0.707168229252,0.707045327614
94886490832,5916,94888000000,world,10.8999670297,-8.65000095974,4.90000347789,-9.65422777165e-06,1.1713154039e-05,0.707168463112,0.707045093717
94896573512,5917,94904000000,world,10.8999668302,-8.65000096078,4.90000347647,-9.48031049473e-06,1.1622708468e-05,0.707168693414,0.707044863378
94916793125,5918,94920000000,world,10.8999666024,-8.65000096114,4.90000347477,-9.30682815539e-06,1.15257188619e-05,0.707168915627,0.707044641131
94926927236,5919,94936000000,world,10.899966339,-8.65000096156,4.90000347277,-9.1343334224e-06,1.14164225976e-05,0.707169121138,0.707044435588
94947121983,5920,94952000000,world,10.8999660215,-8.65000095844,4.90000347025,-8.96260275189e-06,1.12874302707e-05,0.7071692983,0.707044258398
94967356686,5921,94968000000,world,10.8999656323,-8.65000093466,4.9000034665,-8.7911948131e-06,1.11325077283e-05,0.707169437124,0.707044119554
94977482681,5922,94984000000,world,10.8999659419,-8.65000074644,4.90000346215,-8.61382224737e-06,1.09536185323e-05,0.707169536613,0.707044020053
94997634735,5923,95000000000,world,10.8999661928,-8.65000062971,4.90000345991,-8.42270915417e-06,1.07566132393e-05,0.707169600861,0.707043955799
95017867116,5924,95024000000,world,10.8999662327,-8.65000060684,4.9000034594,-8.09487877708e-06,1.04418229113e-05,0.707169644094,0.707043912567
95027948951,5925,95032000000,world,10.8999664698,-8.65000051217,4.90000345784,-7.97359310269e-06,1.03327638262e-05,0.707169645247,0.707043911416
95038074388,5926,95048000000,world,10.8999665019,-8.65000049732,4.90000345754,-7.71150688537e-06,1.01098956817e-05,0.707169628948,0.707043927725
95058412819,5927,95064000000,world,10.8999664834,-8.65000050278,4.90000345756,-7.42869355314e-06,9.88298396831e-06,0.707169594826,0.707043961859
95078677335,5928,95080000000,world,10.8999664384,-8.65000051948,4.90000345778,-7.13385581477e-06,9.65513520086e-06,0.707169553338,0.707044003361
95088749552,5929,95096000000,world,10.8999663873,-8.65000053945,4.90000345808,-6.8348637934e-06,9.42866771743e-06,0.707169513177,0.707044043535
95108860219,5930,95112000000,world,10.8999663256,-8.65000056204,4.90000345842,-6.53768801812e-06,9.19997512054e-06,0.707169472581,0.707044084143
95118957107,5931,95128000000,world,10.8999662499,-8.65000059006,4.90000345885,-6.24498451981e-06,8.96640045476e-06,0.707169429129,0.707044127608
95139108472,5932,95144000000,world,10.899966144,-8.65000062816,4.90000345944,-5.95781863247e-06,8.7230150903e-06,0.707169375835,0.707044180918
95159305433,5933,95160000000,world,10.8999659854,-8.65000068634,4.90000346032,-5.67518986862e-06,8.46210466333e-06,0.70716930004,0.707044256732
95169414593,5934,95176000000,world,10.8999657551,-8.65000077616,4.90000346175,-5.39509837791e-06,8.17649288593e-06,0.707169189278,0.707044367519
95189530415,5935,95192000000,world,10.8999654461,-8.65000091469,4.90000346417,-5.11567182425e-06,7.86138150353e-06,0.707169034869,0.70704452196
95199588406,5936,95208000000,world,10.8999650947,-8.6500011616,4.90000346965,-4.8356312173e-06,7.51452990501e-06,0.707168832501,0.70704472437
95219725713,5937,95224000000,world,10.8999654031,-8.65000116918,4.90000347173,-4.54965673389e-06,7.14031569923e-06,0.707168585557,0.707044971363
95239912323,5938,95240000000,world,10.8999656194,-8.65000116195,4.90000347281,-4.24757837061e-06,6.7488035644e-06,0.707168303148,0.707045253826
95249969279,5939,95256000000,world,10.8999657519,-8.65000115596,4.90000347341,-3.92015895485e-06,6.34920725354e-06,0.707167993663,0.707045563371
