%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
27584977519,1710,27592000000,world,10.8999690439,-8.64999968524,4.89999676508,-5.0667503117e-05,2.20434754497e-05,0.707139653547,0.707073905139
27605327023,1711,27608000000,world,10.8999691644,-8.64999954502,4.89999663194,-5.08402655457e-05,2.23963429137e-05,0.707139313353,0.707074245341
27615495609,1712,27624000000,world,10.8999692847,-8.64999943026,4.89999652472,-5.1017005403e-05,2.27545586382e-05,0.707138973235,0.707074585466
27635658744,1713,27640000000,world,10.8999694003,-8.64999932743,4.89999642925,-5.12059593432e-05,2.31231133558e-05,0.707138636748,0.707074921957
27655818448,1714,27656000000,world,10.8999693233,-8.64999938776,4.8999964842,-5.12844489682e-05,2.32731971664e-05,0.707138476748,0.707075081962
27665873734,1715,27672000000,world,10.8999694204,-8.64999930187,4.8999964043,-5.14313300427e-05,2.35974441004e-05,0.707138150495,0.707075408222
27696043356,1716,27688000000,world,10.8999696776,-8.64999909911,4.89999621895,-5.16816390804e-05,2.41292068599e-05,0.707137670925,0.707075887798
27716157039,1717,27704000000,world,10.8999697163,-8.64999905856,4.89999617897,-5.18276197084e-05,2.44438102619e-05,0.707137369873,0.707076188855
27726218968,1718,27720000000,world,10.8999696883,-8.64999905512,4.89999616846,-5.19686594352e-05,2.4725319087e-05,0.707137078566,0.707076480167
27726218968,1719,27736000000,world,10.8999695783,-8.64999909637,4.89999619364,-5.21267033842e-05,2.49811580381e-05,0.707136793747,0.707076764989
27746458410,1720,27752000000,world,10.8999694012,-8.64999919161,4.89999626962,-5.22822482254e-05,2.51858879826e-05,0.70713651245,0.707077046291
27766703743,1721,27768000000,world,10.8999692526,-8.64999934004,4.89999641521,-5.24288549959e-05,2.53504681388e-05,0.707136229073,0.707077329675
27776760605,1722,27784000000,world,10.8999692059,-8.6499995465,4.89999665452,-5.24807746148e-05,2.54032565986e-05,0.707136085756,0.707077472999
27796875197,1723,27800000000,world,10.8999692282,-8.64999968586,4.89999682824,-5.26482014877e-05,2.55657285799e-05,0.70713579326,0.707077765501
27816993662,1724,27816000000,world,10.8999692697,-8.64999978783,4.89999696131,-5.28304227446e-05,2.57153446083e-05,0.707135499507,0.707078059259
27847202693,1725,27840000000,world,10.8999693129,-8.64999987837,4.8999970797,-5.31563852986e-05,2.58813680602e-05,0.707134912291,0.707078646492
27847202693,1726,27848000000,world,10.8999692056,-8.64999978328,4.89999694239,-5.32860782473e-05,2.59387450415e-05,0.707134770816,0.707078787965
27867564914,1727,27864000000,world,10.8999691754,-8.64999976977,4.89999692043,-5.34776236403e-05,2.59970057363e-05,0.707134480806,0.707079077982
27877653507,1728,27880000000,world,10.8999691378,-8.6499997399,4.89999687709,-5.36673402262e-05,2.6041178189e-05,0.707134192315,0.707079366479
27887710948,1729,27896000000,world,10.8999690866,-8.64999969594,4.89999681402,-5.38804207e-05,2.60950960748e-05,0.707133905947,0.707079652851
27907844619,1730,27912000000,world,10.8999690265,-8.64999963758,4.89999673189,-5.40839342358e-05,2.61259788696e-05,0.70713362141,0.707079937393
27927955476,1731,27928000000,world,10.8999689574,-8.64999956019,4.89999662456,-5.42857667605e-05,2.61388747426e-05,0.70713333916,0.707080219648
